Date,Close,High,Low,Open,Volume,BTC-INR
2022-10-10,1577663.25,1614729.125,1574482.0,1610796.125,2260402217450,BTC-INR
2022-10-11,1567439.25,1581713.125,1558587.0,1577458.625,2362216965391,BTC-INR
2022-10-12,1574746.75,1578507.625,1566386.75,1567540.25,2050910377987,BTC-INR
2022-10-13,1593126.25,1599363.0,1514284.5,1574707.375,3634532168564,BTC-INR
2022-10-14,1581505.375,1635326.5,1575714.625,1593095.875,3169691211371,BTC-INR
2022-10-15,1571776.625,1583721.5,1567788.125,1581487.25,1334752692089,BTC-INR
2022-10-16,1587942.375,1598317.0,1571882.0,1571882.0,1482521523329,BTC-INR
2022-10-17,1606971.375,1613673.125,1579581.0,1587981.0,2258102125563,BTC-INR
2022-10-18,1590964.25,1617089.0,1575633.5,1606947.5,2516326742183,BTC-INR
2022-10-19,1588527.75,1592116.375,1587544.625,1591014.5,1861244345181,BTC-INR
2022-10-20,1578144.25,1595890.375,1574820.75,1588407.5,2028736774056,BTC-INR
2022-10-21,1582514.75,1588730.125,1559053.5,1578099.75,2679222079723,BTC-INR
2022-10-22,1585463.25,1588764.25,1579194.5,1582507.5,1329276661071,BTC-INR
2022-10-23,1615091.125,1621620.625,1578530.375,1585425.625,1826545028310,BTC-INR
2022-10-24,1601073.5,1616918.75,1590763.875,1615154.125,2499590040111,BTC-INR
2022-10-25,1656814.125,1678817.75,1593077.625,1601023.25,3937725572130,BTC-INR
2022-10-26,1704211.375,1718235.5,1655186.75,1656515.75,4832403436007,BTC-INR
2022-10-27,1672418.125,1715532.375,1669906.625,1704405.25,4091225608086,BTC-INR
2022-10-28,1694744.125,1706400.75,1656229.0,1672592.875,3620223984411,BTC-INR
2022-10-29,1713104.5,1727086.75,1692368.75,1694723.75,3321941336062,BTC-INR
2022-10-30,1697999.875,1721212.375,1690747.25,1713063.875,2590852747564,BTC-INR
2022-10-31,1695599.0,1721966.75,1679467.875,1697842.875,3778115724866,BTC-INR
